"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
"Gelas.","Gelasius I",,"Rome, Italy","Roma, Italia","423025","CE 5",,,"CE 492-496","Y","Y","41.891737499999998","12.4861685"
"Sulla.","Lucius Cornelius Sulla Felix","Sulla","Rome, Italy","Roma, Italia","423025","BCE 1","c. BCE 138","c. BCE 78",,"N","N","41.891737499999998","12.4861685"
"Cael.Sab.","Caelius Sabinus, Gn. Arulenus",,"Rome, Italy","Roma, Italia","423025","CE 1",,,,,,"41.891737499999998","12.4861685"
"Philipp.","Lucius Marcius Philippus",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,"N","N","41.891737499999998","12.4861685"
"Mar.Max.","Lucius Marius Maximus","Marius Maximus","Rome, Italy","Roma, Italia","423025","CE 2-3","c. CE 160","c. CE 230",,"N","N","41.891737499999998","12.4861685"
"Nerat.","Lucius Neratius Priscus","Neratius","Rome, Italy","Roma, Italia","423025","CE 1-2",,,"CE 98-138?","N","N","41.891737499999998","12.4861685"
"Carm.Devot.","Auctor Incertus",,"Rome, Italy","Roma, Italia","423025",,,,,,,"41.891737499999998","12.4861685"
"Quinctius.","Lucius Quinctius",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,"N","N","41.891737499999998","12.4861685"
"Eus.Pap.","Eusebius papa",,"Rome, Italy","Roma, Italia","423025","CE 3",,,,"Y","Y","41.891737499999998","12.4861685"
"Marcel.","Lucius Ulpius Marcellus","Marcellus","Rome, Italy","Roma, Italia","423025","CE 2",,,"CE 138-167","CE 138-167","N","41.891737499999998","12.4861685"
"Proc.","Proculus","Proculus","Rome, Italy","Roma, Italia","423025","CE 1",,,"c. CE 14-68?","N","N","41.891737499999998","12.4861685"
"V.Ruf.","Lucius Varius Rufus",,"Rome, Italy","Roma, Italia","423025","BCE 1","c. BCE 74","c. BCE 14",,"N","N","41.891737499999998","12.4861685"
"Boet.","Anicius Manlius Severinus Boethius","Boethius","Rome, Italy","Roma, Italia","423025","CE 6","c. CE 475","CE 524",,"Y","N","41.891737499999998","12.4861685"
"Vergin.","Lucius Verginius Rufus",,"Rome, Italy","Roma, Italia","423025","CE 1",,,,"N","N","41.891737499999998","12.4861685"
"German.","Germanicus, Julius Caesar",,"Rome, Italy","Roma, Italia","423025","CE 1","BCE 15","CE 19",,"N","N","41.891737499999998","12.4861685"
"Carm.Bell.Aeg.","Auctor Incertus",,"Rome, Italy","Roma, Italia","423025","CE 1-2",,,,,,"41.891737499999998","12.4861685"
"Glauc.","Glaucia, Gaius Servilius",,"Rome, Italy","Roma, Italia","423025","BCE 2",,"BCE 100","c. BCE 100",,,"41.891737499999998","12.4861685"
"Eut.Pap.","Euticianus papa",,"Rome, Italy","Roma, Italia","423025","CE 3",,,,"Y","Y","41.891737499999998","12.4861685"
"Anast.III","Anastasius III","Anastasius III, Pope","Rome, Italy","Roma, Italia","423025","CE 9","CE ?","CE 913","CE 911-913","Y","Y","41.891737499999998","12.4861685"
"Anast.I.(Ps).","Anastasius I (Incertus)","Anastasius I","Rome, Italy","Roma Italia","423025","CE 4-5",,,"CE 398 - 402","Y","Y","41.891737499999998","12.4861685"
"Anast.I.","Anastasius I","Anastasius I, Pope","Rome, Italy","Roma, Italia","423025","CE 5","CE ?","CE 401","CE 399-401","Y","Y","41.891737499999998","12.4861685"
"Lent.Marc.","Gnaeus Cornelius Lentulus Marcellinus",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,"N","N","41.891737499999998","12.4861685"
"Cn.Naev.","Gnaeus Naevius",,"Rome, Italy","Roma, Italia","423025","BCE 3","c. BCE 269","c. BCE 204",,"N","N","41.891737499999998","12.4861685"
"Can.","Publius Cannutius",,"Rome, Italy?","Roma, Italia?","423025","CE 1",,,,,,"41.891737499999998","12.4861685"
"Scip.Min.","Publius Cornelius Scipio Aemilianus Africanus","Scipio Aemilianus/Scipio Africanus Minor","Rome, Italy","Roma, Italia","423025","BCE 2","c. BCE 185","c. BCE 129",,"N","N","41.891737499999998","12.4861685"
"Scipio.Maior.","Publius Cornelius Scipio Africanus maior","Scipio the African/Scipio the Great","Rome, Italy","Roma, Italia","423025","BCE 2","c. BCE 236","c. BCE 183",,"N","N","41.891737499999998","12.4861685"
"Nasica.","Publius Cornelius Scipio Nasica Serapio",,"Rome, Italy","Roma, Italia","423025","BCE 2","c. BCE 183","c. BCE 132",,"N","N","41.891737499999998","12.4861685"
"Cels.","Publius Iuventius Celsus","Celsus","Rome, Italy","Roma, Italia","423025","CE 1-2","CE 67","c. CE 138",,"N","N","41.891737499999998","12.4861685"
"P.Scaev.","Publius Mucius Scaevola",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,,"N","N","41.891737499999998","12.4861685"
"Nigid.","Publius Nigidius Figulus","Nigidius Figulus","Rome, Italy","Roma, Italia","423025","BCE 1","c. BCE 98","c. BCE 45",,"N","N","41.891737499999998","12.4861685"
"Caes.","Caesar, Gaius Iulius ","Caesar","Rome, Italy","Roma, Italia","423025","BCE 1","c. BCE 100","BCE 44",,"N","N","41.891737499999998","12.4861685"
"Fan.","Fannius, Gaius",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,"BCE 130-20","N","N","41.891737499999998","12.4861685"
"Agrippa.","Marcus Vipsanius Agrippa",,"Rome, Italy","Roma, Italia","423025","BCE 1","c. BCE 65-60",,"BCE 12",,,"41.891737499999998","12.4861685"
"Iun.Sil.","Decimus Iunius Silanus",,"Rome, Italy","Roma, Italia","423025","BCE 2",,,,"N","N","41.891737499999998","12.4861685"
"Laber.","Decimus Laberius",,"Rome, Italy","Roma, Italia","423025","BCE 1","BCE 106","BCE 43",,"N","N","41.891737499999998","12.4861685"
"Faustin.","Faustinus",,"Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y","Y","41.891737499999998","12.4861685"
"Men.","Arrius Menander","Menander","Rome, Italy","Roma, Italia","423025","BCE 2-3",,,"c. CE 193-218","N","N","41.891737499999998","12.4861685"
"Sulp.Ruf.","Servius Sulpicius Rufus",,"Rome, Italy","Roma, Italia","423025","BCE 1",,,,"N","N","41.891737499999998","12.4861685"
"Balbus.","Balbus, Lucius Herennius",,"Rome, Italy","Roma, Italia","423025","BCE 1","?",,"?",,,"41.891737499999998","12.4861685"
"Arm.","Armenius - Honorius monachus",,"Rome, Italy","Roma, Italia","423025","CE 6",,,,,"Y","41.891737499999998","12.4861685"
"Cor.Balb.","Balbus, Lucius Cornelius",,"Rome, Italy","Roma, Italia","423025","BCE 1","?",,"BCE 59-40",,,"41.891737499999998","12.4861685"
"Fel.I.","Felix I",,"Rome, Italy","Roma, Italia","423025","CE 3",,,,"Y","Y","41.891737499999998","12.4861685"
"Bonif.II.","Boniface II",,"Rome, Italy","Roma, Italia","423025","CE 6","CE ?","CE 532","CE 530-532","Y","Y","41.891737499999998","12.4861685"
"Fel.II.","Felix II",,"Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y","Y","41.891737499999998","12.4861685"
"Fel.III.","Felix III",,"Rome, Italy","Roma, Italia","423025","CE 5",,,,"Y","Y","41.891737499999998","12.4861685"
"Hilar.-Pap.","Hilarus Papa",,"Rome, Italy","Roma, Italia","423025","CE 5",,,,"Y","Y","41.891737499999998","12.4861685"
"Hirt.","Hirtius, Aulus",,"Rome, Italy","Roma, Italia","423025","BCE 1",,"BCE 43",,,,"41.891737499999998","12.4861685"
"Silv.","Silverius Papa",,"Rome, Italy","Roma, Italia","423025","CE 6",,,,"Y","Y","41.891737499999998","12.4861685"
"Simpl.","Simplicius Papa",,"Rome, Italy","Roma, Italia","423025","CE 5",,,,"Y","Y","41.891737499999998","12.4861685"
"Siricius","Siricius papa",,"Rome, Italy","Roma, Italia","423025","CE 4",,,,"Y","Y","41.891737499999998","12.4861685"
"Papin.","Aemilius Papinianus","Papinian","Rome, Italy","Roma, Italia","423025","CE 2-3",,"CE 212",,"N","N","41.891737499999998","12.4861685"
"Macer.","Aemilius Macer","Macer","Rome, Italy","Roma, Italia","423025","CE 3",,,"CE 211-235","N","N","41.891737499999998","12.4861685"
"Clodius.","Clodius Pulcher, Publius",,"Rome, Italy","Roma, Italia","423025","BCE 1","BCE 93","BCE 52",,,"N","41.891737499999998","12.4861685"
"Car.Nel.","Carmen Nelei",,"Rome, Italy","Roma, Italia","423025",,,,"Archaic?",,,"41.891737499999998","12.4861685"
"Sixt.III.","Sixtus III",,"Rome, Italy","Roma, Italia","423025","CE 5",,,,"Y",,"41.891737499999998","12.4861685"
"Deus.","Deusdedit papa",,"Rome, Italy","Roma, Italia","423025","CE 7",,,"CE 615-618",,"Y","41.891737499999998","12.4861685"
"Fid.Opt.","Fidus Optatus",,"Rome, Italy","Roma, Italia","423025","CE 1-2",,,,,,"41.891737499999998","12.4861685"
"Melch.Pap.","Melchiades papa",,"Rome, Italy","Roma, Italia","423025","CE 3-4",,,,"Y","Y","41.891737499999998","12.4861685"
