"abbreviation","author_latin","author_english","modern_geographic_identity","ancient_geographic_identity","pleiades_id","century","date_of_birth","date_of_death","floruit","late_antique","christian","reprlat","reprlong"
,"Vita S. Maxentii abbatis Pictaviensis",,,,,"CE 6",,,,,,,
,"Vita S. Maximi episcopi Reiensis",,,,,"CE 6",,,,,,,
,"Vita S. Melanii episcopi Trecensis",,,,,"CE 6",,,,,,,
,"Vita S. Nicetii episcopi Lugdunensis",,,,,"CE 6",,,,,,,
,"Vita S. Pastoris presbiteri",,,,,"CE 6",,,,,,,
,"Vita S. Peregrini episcopi Autissiodorensis",,,,,"CE 6",,,,,,,
,"Vita S. Virgilii Arelatensis",,,,,"CE 6",,,,,,,
,"Vita S. Viviani episcopi Santonensis",,,,,"CE 6",,,,,,,
,"Vita ia S. Romani presbyteri in castro Blaviensi",,,,,"CE 5",,,,,,,
,"Vita iia S. Romani",,,,,"CE 6",,,,,,,
,"Vitae Abbatum Iurensium (Romani, Lupicini et Eugendi)",,,,,"CE 6",,,,,,,
"Vit.Proph.","Vitae prophetarum",,,,,,,,,,"Y",,
"Achol.","Acholius",,,,,"CE 3",,,"c. CE 253-260",,,,
"Volc.","Volcacius Sedigitus",,,,,"BCE 2-1",,,"BCE 100","N","N",,
"Vol.Ter.","Volcatius Terentianus",,,,,"CE 3",,,,,,,
"Vol.","Volumnius",,,,,"BCE 1",,,,,,,
"Vos.-G(Ps).","Vossius Gerardus Iohannes, Ps.",,,,,,,,,,"Y",,
"Rustic.","Vulgate",,,,,,,,,"Y","Y",,
"Vulg.","Vulgate",,,,,,,,,"Y","Y",,
"Wamb.","Wamba, rex Visigothorum",,,,,"CE 7",,,"CE 672-680",,,,
"Ach.","Achilleus Spoletanus",,,,,"CE 5",,,,,,,
"Anon.","anonymous",,,,,,,,,,,,
"Epig.DeCrassit.","anonymous",,,,,"BCE 1",,,,,,,
"Prec.Om.Herb.","anonymous",,,,,,,,,,,,
"Elog.Asbad.","anonymous",,,,,"CE 6",,,,"Y",,,
"Carm.Navale.","anonymous",,,,,"CE 7th",,,,,,,
"Carm.DeNom.Lit.","anonymous",,,,,"CE 7th",,,,,,,
"Prec.Ter.Mat.","anonymous",,,,,,,,,,,,
"incert.Odiar.","anonymous",,,,,"CE 2",,,,,,,
"Aeg.Perd.","anonymous",,,,,,,,,,,,
"Laud.Domin.","anonymous",,,,,"CE 4",,,,,,,
"Epitaph.Sabin.","anonymous",,,,,"CE 7",,,,,,,
"Anth.","anthologia Latina",,,,,,,,,,,,
"Plaut.Arg.","argumenta Plauti comoediarum",,,,,"CE 2",,,,,,,
"Priap.","carmina Priapea",,,,,,,,,,,,
"comoed.incert.","comoediae incertorum",,,,,"BCE 2-1",,,,,,,
"mimograph.incert.","mimographi incerti",,,,,"BCE 1-2",,,,,,,
"Obt.Ver.","obtrectatores Vergilii",,,,,,,,,,,,
"Panegyric.inMessall.","panegyricus in Messallam",,,,,"BCE 1",,,,,,,
"ps.-Apollin.","ps.-C. Sulpicius Apollinaris, grammaticus",,,,,"CE 2",,,,,,,
"Hilar.Pict(Ps).","ps.-Hilarius Pictaviensis",,,,,,,,,"Y","Y",,
"Lact.","ps.-Lucius Caecilius Firmianus Lactantius",,,,,,,,,,,,
"ps.-Pub.","ps.-Publilius Syrus",,,,,"BCE 1",,,"c. BCE 45","N","N",,
"ps.-Stat.","ps.-Publius Papinius Statius",,,,,,,,,,,,
"Ablab.","Ablabius ",,,,,"CE 4",,"CE 338",,,,,
"Abd.","Abdias",,,,,,,,,"Y","Y",,
"sylloge.cod.Elnon.2.",,,,,,"CE 6",,,,"Y",,,
"sylloge.cod.Elnon.4.",,,,,,"CE 6",,,,"Y",,,
"Itin.Anton.Aug.",,,,,,"CE 4-5",,,,,,,
"Itin.Burdigal.",,,,,,,"CE 4",,,,,,
"Vers.adDeum.",,,,,,"CE 7",,,,,,,
"Comp.Pach.",,,,,,,,,,,,,
"DeSepulch.",,,,,,,,,,,,,
"Carm.Epigraphica.",,,,,,,,,,,,,
"Claudius, Appius",,,,,,,,,,,,,
"Expos.Tot.Mund.etGent.",,,,,,"CE4",,,,,,,
"Vers.deBob.",,,,,,"CE 7",,,,,,,
"Panegyric.Constant.Imperat.",,,,,,"CE 3",,,,,,,
"vers.popul.antiq.",,,,,,"BCE 1",,,,,,,
"sylloge.cod.Elnon.1.",,,,,,"CE 6",,,,"Y",,,
"Vit.Verg.Bern.",,,,,,,,,,,,,
"Suet.versi.",,,,,,"CE 1 - BCE 1",,,,,,,
"Panegyric.Maxim.EtConst.",,,,,,"CE 3",,,,,,,
"Hier(Ps).",,,,,,,,,,,,,
"Tract.deAdtrib.pers.etNeg.",,,,,,"CE 4",,,,,,,
"vers.exHist.Aug.",,,,,,"CE 2-4",,,,"Y",,,
"Panegyric.Iulian.Imperat.",,,,,,"CE 4",,,,,,,
"Schol.cod.Mem.inSeut.Iul.32.",,,,,,,,,,,,,
"Schol.inOrat.Cic.codic.Clunian.498.etAmbr.C.29.",,,,,,,,,,,,,
"ps.-Stat.",,,,,,,,,,,,,
"Adnot.superLuc.",,,,,,,"CE 4-5",,,,,,
"sylloge.cod.Elnon.3.",,,,,,"CE 6",,,,"Y",,,
"Itin.Gadit.",,,,,,,,,,,,,
"Schol.inOrat.Cic.",,,,,,,,,,,,,
"Panegyric.Constant.",,,,,,"CE 3",,,,,,,
"Test.Porc.",,,,,,"CE 4",,,,,,,
,"Acta et passio beatissimae martyris Caeciliae, Valeriani et Tiburtii",,,,,"CE 6?",,,,,,,
"Aem.Parth.","Aemilius Parthenianus",,,,,"CE (?) 2",,,,,,,
"Pervig.Ven.",,,,,,"CE 2 ?",,,,,,,
"Agrest.","Agrestius, episcopus Gallus",,,,,"CE 5 ?",,,,"Y","Y",,
"Alber.","Albericus",,,,,"?",,,,,,,
"Alf.","Alfius",,,,,"CE 3?",,,,,,,
"Alf.-A.","Alfius Auitus",,,,,"?",,,,,,,
"Alph.","Alphanus Beneventanus",,,,,"?",,,,,,,
"Hist.Ap.","Anonymous",,,,,"CE 6?",,,,,,,
"Antid.Brux.","Antidotarium Bruxellense",,,,,"CE 14?",,,,,,,
"Vit.Euphros.","Anonymous",,,,,,,,,,"Y",,
"Aquil.","Aquilius comoedius",,,,,"BCE 2/1?",,,,,,,
"Arb.","Arbonius Silo",,,,,"?",,,,,,,
,"Gerontius",,,,,"CE 5",,,,,,,
"Brev.","Breviarius de Hierosolyma",,,,,"CE 4?",,,,,,,
"Carm.Sal.","Carmen Saliare",,,,,"?",,,,,,,
"Claud.","Claudius",,,,,"CE 3?",,,,,,,
"Sat.","Claudius Saturninus","Claudius Saturninus","Unknown","Unknown",,"CE 2?",,,"c. CE 161-169","N","N",,
"Can.Ec.Af.","Codex Canonum Ecclesiae Africanae",,,,,"?",,,,"Y","Y",,
"Col.His.","Collectio Hispana",,,,,"?",,,,"Y","Y",,
"Con.Mer.","Concilia aevi Merovingici ab 511 ad 695",,,,,"CE 7/8?",,,,"Y","Y",,
"Curt.","Curtius Rufus, Quintus",,,,,"?",,,"c. CE 40-50?",,"N",,
"Donatian.","Donatianus",,,,,"CE 4?",,,,,,,
"Drusus.","Drusus, Gaius",,,,,"?",,,,,,,
"Egn.","Egnatius",,,,,"BCE 1?",,,,,,,
"Eugr.","Eugraphius",,,,,"CE 6?",,,,,,,
"Hyg.Astr.","Hyginus Astronomus",,,,,"CE 2?",,,,,,,
"Lic.","Licinius Imbrex",,,,,"BCE 2?",,,,,,,
,"Passio S. Torpetis Pisani",,,,,"CE 6?",,,,,,,
"Pal.Rut.","Palladius Rutilius Taurus Aemilianus","Palladius",,,,"CE 5?",,,,,,,
,"Passio Concordii presbyteri",,,,,"CE 6?",,,,,,,
,"Passio S. Ambrosii Ferentinensis",,,,,"CE 6?",,,,,,,
,"Passio S. Clementis",,,,,"CE 6?",,,,,,,
,"Passio S. Cornelii Papae",,,,,"CE 6?",,,,,,,
,"Passio S. Domnini Parmensis",,,,,"CE 6?",,,,,,,
,"Passio S. Iulianae Nicomediae",,,,,"CE 6?",,,,,,,
,"Passio S. Luciae",,,,,"CE 6?",,,,,,,
,"Passio S. Pimenii",,,,,"CE 6?",,,,,,,
,"Passio S. Susannae",,,,,"CE 6?",,,,,,,
,"Passio S. Symphorosae et vii filiorum martyrum",,,,,"CE 6?",,,,,,,
,"Passio S. Urbani I Papae",,,,,"CE 6?",,,,,,,
,"Passio S. Vincentii Caesaraugustani",,"Zaragoza",,,"CE 4?",,,,"Y","Y",,
,"Passio SS. Anastasiae, Chrysogoni, Chyoniae, Irenes et Agapes, Theodotae",,,,,"CE 6?",,,,,,,
,"Passio SS. Cantii, Cantiani et Cantianillae",,,,,"CE 5?",,,,,,,
,"Passio SS. Chrysanthi et Dariae",,,,,"CE 6?",,,,,,,
,"Passio SS. Donati et Hilariani",,,,,"CE 6?",,,,,,,
,"Passio SS. Eugeniae, Prothi et Hyacinthi",,,,,"CE 5?",,,,,,,
,"Passio SS. Firmi et Rustici",,,,,"CE 6?",,,,,,,
,"Passio SS. Marii, Marthae et sociorum",,,,,"CE 6?",,,,,,,
,"Passio SS. Nerei Achillei et sociorum",,,,,"CE 6?",,,,,,,
,"Passio SS. Primi et Feliciani",,,,,"CE 6?",,,,,,,
,"Passiones S. Bonosae",,,,,"CE 6?",,,,,,,
"Sept.","Septimius Serenus",,,,,"CE 3?",,,,,,,
"Calp.Sic.","Titus Calpurnius Siculus",,,,,"CE 1?",,,,"N","N",,
"Veran.","Veranius",,,,,"BCE 1?",,,,"N","N",,
"Vib.Crisp.","Vibius Crispus",,,,,"CE 1?",,,,,,,
"Victorin.","Victorinus",,,,,"CE 5 ?",,,,"Y","Y",,
,"Vigilii vita et passio",,,,,"CE 6 (?)",,,,,,,
,"Vita Abundii episcopi Comensis",,,,,"CE 5?",,,,,,,
,"Vita Constantii episcopi Perusini",,,,,"CE 5-6?",,,,,,,
,"Vita S. Dalmatii",,,,,"CE 6?",,,,,,,
,"Vita S. Valentini episcopi Interamnensis",,,,,"CE 6?",,,,,,,
,"Vita et passio SS. Marcelli et Apulei",,,,,"CE 6?",,,,,,,
"Alcest.Barcin.","anonymous",,,,,"CE 5?",,,,"Y","Y",,
"Cato(Ps).","pseudo Cato ",,,,,"BCE 3-4 ?",,,,"Y",,,
"Avian.","Avianus, Flavius",,,,,"c. CE 5",,,,"Y",,,
"Cornif.Gal.","Cornificius Gallus",,,,,"c. BCE 1",,,,,,,
"Bonos.","Bonosus Poeta",,,,,"CE 5/6",,,,,,,
"Caesel.","Caesellius Vindex",,"Unknown","Unknown",,"CE 2",,,,,,,
"Calb.","Calbulus Poeta",,,,,"CE 5/6",,,,,,,
"Calc.","Calcidius Diaconus",,,,,"CE 4",,,,,,,
"Calc.Diac.","Calcidius Diaconus",,,,,"CE 4",,,,"Y",,,
"Call.","Callistratus","Callistratus","Unknown","Unknown",,"CE 3",,,"CE 198-211","N","N",,
"Calp.Flac.","Calpurnius Flaccus",,,,,"CE 2",,,"c.CE 117-138",,,,
"Caepasius.","Caepasius, Gaius/Lucius",,,,,"BCE 1",,,,,,,
"Cap.Mar.","Capitula Martini episcopi Bracarensis",,,,,"CE 6",,,,"Y","Y",,
"Cap.Reg.Mer.","Capitularia Regum Merovingicorum",,,,,"CE 6",,,,"Y",,,
"Car.","Carilefus Anisolensis","St. Calais","St.-Calais, France","Anisola, Gallia Celtica",,"CE 6",,"CE 536",,"Y","Y",,
"Carm.Sib.","Carmen Sibyllae",,,,,"CE 4-5",,,,"Y",,,
"Carm.AdSenat.","Carmen ad quendam senatorem","Cyprianus Gallus",,,,,,,"c. 384-394 CE","Y","Y",,
"Carm.cont.Pag.","Carmen contra paganos [advesrsum Nichomachum] or Damasi episcopi versus de Praetextato praefecto Urbis",,,,,,,,"c. 384-394","Y",,,
"Car.DeFig.","Carmen de Figuris",,,,,"CE 4-5",,,,,,,
"Duod.Sap.","Carmina duodecim sapientum",,,,,,,,,,,,
"Carmin.","Carminius",,,,,"CE 2/4",,,,,,,
"Carvil.Pic.","Carvilius Pictor",,,,,"CE 1",,,,,,,
"Cass.","Cassiodorus (Flauius Magnus Aurelius Cassiodorus Senator)",,,,,"CE 6",,"CE 583",,,"Y",,
"Cass(Ps).","Cassiodorus, Flavius Magnus Aurelius (Incertus)",,,,,,,,,,,,
"Cass.-Fel.","Cassius Felix",,"Kasatina, Algeria","Cirta, Constantina, Africa",,"CE 5",,,,"Y",,,
"Cat.","Catalepton",,,,,"BCE 1 - CE 1",,,,,,,
"Cato.Afr.","Cato Africanus",,,,,"CE 5",,,,,,,
"Cato.Nep.","Cato Nepos, Marcus Porcius",,,,,"BCE 2",,,,,,,
"Celad.","Celadus",,,,,"CE 1",,,,,,,
"Cels.Ch.","Celsus <Christianus>",,"Unknown","Unknown",,"CE 2",,,,"Y","Y",,
"Chalcid.","Chalcidius",,,,,"CE 4",,,,"Y",,,
"Chin.","Chintila, rex Visigothorum",,,,,"CE 7",,,"CE 636 - 640",,,,
"Chir.","Chirius Fortunatianus, Gaius",,,,,"CE 4",,,,"Y",,,
"Apic.","Caelius Apicius",,,,,"CE 1",,,,,,,
"Cael.","Caelestinus",,,,,"CE 3",,,,,,,
"Clar.","Claranus",,,,,"CE 1",,,,,,,
"Caecin.","Caecina Severus, Aulus",,,,,"BCE 1",,,,,,,
"Met.","Caecilius Metellus",,,,,"BCE 2",,,"BCE 142","N","N",,
"Claud.Did.","Claudius Didymus",,,,,"CE 1",,,,,,,
"Mar.-Vict.","Claudius Marius Victorius",,"Marseilles, France",,,"CE 5",,"c. CE 425-450",,"Y",,,
"Claudius","Claudius Quadrigarius, Quintus",,,,,"BCE 1",,,,,"N",,
"Cl.","Clement",,,,,,,,,,"Y",,
"Clod.Lic.","Clodius Licinus, Gaius",,,,,,,,"c. CE 4",,,,
"Clod.Tusc.","Clodius Tuscus",,,,,"BCE 1-CE 1",,,,,,,
"Ser.Clod.","Clodius, Servius",,,,,"BCE 1",,,,,,,
"C.Th.","Codex Theodosianus",,,,,,,,,"Y",,,
"Apollin.","C. Sulpicius Apollinaris, grammaticus",,,,,"CE 2",,,,,,,
"C.Piso.","C. Piso",,,,,"BCE 1",,,,,,,
"Alex.etDind.","Collatio Alexandri et Dindimi ",,,,,,,,,,,,
"Col.And.","Collectio Andegavensis","Thalassio Episcopo Andegavensi (?)",,,,"CE 5",,,,"Y","Y",,
"Col.Ar. II","Collectio Arelatensis",,,,,"CE 5",,,,"Y","Y",,
"Col.Ques.","Collectio Quesnelliana",,,,,"CE 5",,,,"Y","Y",,
"Col.-H.","Columba, abbas Hiensis",,,,,"CE 6","CE 521","CE 597",,,,,
"C.Fann.","C. Fannius",,,,,"CE 1",,"c. CE 105-106",,,,,
"C.Gal.","C. Cornelius Gallus",,,,,,,,,,,,
"Cominian.","Cominianus",,,,,"CE 4",,,,,,,
"Gal.","C. Aelius Gallus","Aelius Gallus","Unknown","Unknown",,"BCE 1",,,,,,,
"Con.Ag.","Concilium Agathense",,,,,"CE 6",,,,"Y","Y",,
"Con.And.","Concilium Andegavense",,,,,"CE 5",,,,"Y","Y",,
"Conc.Carp.","Concilium Carpentoractense",,"Carpentras, France","Carpentras, Gallia Narbonensis",,"CE 6",,,"CE 527","Y","Y",,
"Con.Car.VI","Concilium Carthaginense",,,,,"CE 6",,,,"Y","Y",,
"Con.Car.V","Concilium Carthaginense",,,,,"CE 6",,,,"Y","Y",,
"Con.Agr.","Concilium Coloniae Agrippinae habitum",,,,,"CE 4",,,,"Y","Y",,
"Con.Hip.","Concilium Hipponense",,,,,"CE 5",,,,"Y","Y",,
"Brutt.","Bruttius",,,,,,,,,,"?",,
"Con.Nem. I","Concilium Nemausense",,,,,"CE 4",,,,"Y","Y",,
"Con.Nem. IV","Concilium Nemausense",,,,,"CE 5",,,,"Y","Y",,
"Con.Nem. II","Concilium Nemausense",,,,,"CE 5",,,,"Y","Y",,
"Con.Nem. III","Concilium Nemausense",,,,,"CE 5",,,,"Y","Y",,
"Con.Taur.","Concilium Taurinense",,,,,"CE 4",,,,"Y","Y",,
"Con.Tur. I","Concilium Turonense",,,,,"CE 5",,,,"Y","Y",,
"Con.Tur. II","Concilium Turonense",,,,,"CE 5",,,,"Y","Y",,
"Con.Ven.","Concilium Veneticum inter 461 et 491",,,,,"CE 5",,,,"Y","Y",,
"Concilium.Oec.Constantinopol.","Concilium oecumenicum Constantinopolitanum",,,,,,,,,,"Y",,
"Const.","Constantinus (Flavius Valerius Constantinus) (Imperator Constantinus Magnus)",,,,,"CE 4",,,"CE 306-337",,,,
,"Constantius Clericus Lugdunensis",,,,,"CE 5",,,,,,,
"Coripp.","Corippus, Flavius Cresconius",,"Africa","Africa",,"CE 6",,,,"Y",,,
"Cornelia.","Cornelia mater Gracchorum",,,,,"BCE 2","c. BCE 190","c. BCE 115",,,,,
"Capit.","Cornelius Capitolinus",,,,,,,,,,,,
"C.Gal.","Cornelius Gallus, Gaius",,"Fréjus, France","Forum Iulii, Gaul Narbonensis",,"BCE 1","c. BCE 69","BCE 26",,"N","N",,
"Nep.","Cornelius Nepos","Nepos","Cisalpine Gaul","Gallia Cisalpina",,"BCE 1","c. BCE 100","c. BCE 25",,"N","N",,
"Cornel.","Cornelius grammaticus",,,,,"BCE 1",,,,,,,
"Eus.-Gall(Ps).","Eusebius Gallicanus, Ps.",,,,,,,,,,,,
"Corn(Ps).","Cornelius papa (Incertus)",,,,,,,,,,"Y",,
"Corn.","Cornutus",,,,,"BCE 1",,,,,,,
"Coron.","Coronatus",,,,,,,,,,,,
"Brev.Can.","Breviatio Canonum","Ferrando Diacono (?)",,,,"CE 6",,,,"Y","Y",,
"Cosm.Vest.","Cosmas Vestitor",,,,,,,,,"Y","Y",,
"Cur.San.","Cura sanitatis Tiberii",,,,,,,,,,"Y",,
"Curiat.","Curiatius",,,,,"BCE 1",,,,,,,
"Curt.Val.","Curtius Valerianus",,,,,"CE 5",,,,,,,
"Brev.Hip.","Brevarium Hipponense",,,,,"CE 4",,,,"Y","Y",,
"Cypr(Ps).","Cyprianus Carthaginensis, Ps.",,,,,,,,,,"Y",,
"Cypr.-Gall.","Cyprianus Gallus",,,,,"CE 5",,,,"Y",,,
"Cypr.-Gall(Ps).","Cyprianus Gallus (Incertus)",,,,,,,,"CE 5","Y","Y",,
"Cypr(Ps).","Cyprianus Gallus [Spuria et Dubia] ",,,,,"CE 4-5",,,,,"Y",,
"Cypr.-Gall(Ps)","Cyprianus Gallus, Ps.","Cyprianus Gallus",,,,,,,"CE 5","Y","Y",,
"Cypr.-Gall(Ps).","Cyprianus Gallus, Ps.",,,,,,,,,,"Y",,
"Bov.-C.","Bouo Corueiensis",,,,,,,,,,"Y",,
"Cypr.Tol.","Cyprianus, episcopus Tolonensis",,,,,"CE 5-6",,,"CE 524-526","Y","Y",,
"Fab.Max.","Fabius Maximus Servilianus, Q.",,,,,"BCE 2",,,,,,,
"Cyth.","Cytherius rhetor",,,,,"CE 5",,,,"Y","Y",,
"Damas(Ps).","Damasus Papa (Ps.)",,,,,,,,,,"Y",,
"Damas(Ps).","Damasus papa Incertus",,,,,"CE 4",,,,"Y","Y",,
"Damig.","Damigeron",,,,,"CE 5",,,,,,,
"Dand.","Dandamis",,,,,"BCE 4",,,,,,,
"DeAd.Com.Nom.","De Adami compositione et nomine",,,,,,,,,,"Y",,
"DeConst.","De Constantino Magno eiusque matre ",,,,,,,,,,,,
"Ecc.","De Ecclesia",,,,,,,,,,,,
"DeStruc.","De Structuris",,,,,,,,,,,,
"DeMir.Thom.","De miraculis sancti Thomae apostoli",,,,,,,,,,"Y",,
"Dec.","Deculo",,,,,,,,,,,,
"Dell.","Dellius, Quintus",,"Asia",,,"BCE 1",,,,"N",,,
"Din.","Dinothus abbas",,,,,"CE 7",,,,,"Y",,
"Diom.","Diomedes Grammaticus",,,,,"CE 4-5",,,,"Y",,,
"Dion.Ar.","Dionysius Areopagita",,,,,,,,,,"Y",,
"Dion.Cato.","Dionysius Cato",,,,,"CE 3-4",,,,"Y",,,
"Dion.-Ex(Ps).","Dionysius Exiguus (Incertus)",,,,,,,,,,,,
"Dion.-Ex._AV","Dionysius Exiguus - Auctores Varii",,,,,,"CE 470","CE 554","CE 500-545",,,,
"Dion.-Ex.","Dionysius Exiguus - Auctores varii",,,,,,"CE 470","CE 554","CE 500-545",,"Y",,
"Disp. Cap.Cyr.","Disputatio xii capitulorum Cyrilli Alexandrini et sic dictorum Nestorii antianathematismorum",,,,,,,,,,,,
"Dom.","Domitius",,,,,,,,,,,,
"Dom.Balb.","Domitius Balbus",,,,,"BCE 1",,,,,,,
"C.Don.","Donatus, Tiberius Claudius",,,,,"CE 4-5",,,,"Y",,,
"Dorc.","Dorcatius",,,,,"CE 1",,,,,,,
"Dossenn.","Dossennus, Fabius",,,,,,,,,,,,
"Bib.","Bibaculus, Marcus Furius",,"Cremona, Italy","Cremona, Italia",,"BCE 1","BCE 103","BCE ?",,,"N",,
"Pacat.","Drepanius Latinus Pacatus",,,,,"CE 4",,,,,,,
"Pereg.","Egeria",,,,,"CE 4-5",,,"c. CE 480",,,,
"Elch.","Elchasai",,,,,,,,,,"Y",,
"Ben(Ps).","Benedictus Nurisae (Incertus)","St Benedict of Nursiae",,,,,,,,,"Y",,
"Elys.","Elys",,,,,"CE 1",,,,,,,
"Emp.","Emporius Orator",,,,,,,,,,,,
"Encol.","Encolpius",,,,,,,,,,,,
"Sex.Enn.","Ennius, Sextus vel Spurius",,,,,"BCE 1",,,,,,,
"Ben.I.(Ps).","Benedictus I (Incertus)",,,,,,,,,,"Y",,
"Ep.Coll.","Epilogus collectoris Collectionis Palatinae",,,,,,,,,,,,
"Ep.Abg.Chr.","Epistula Abgari cum Christi responso",,,,,,,,,,"Y",,
"Ep.Ap.","Epistula Apostolorum",,,,,,,,,,"Y",,
"Ep.Can.","Epistula Canonica",,,,,"CE 6",,,,"Y","Y",,
"Ep.Pil.Tib.","Epistula Pilati ad Tiberium",,,,,,,,,,"Y",,
"Epist.","Epistula ad imperatum Hadrianum",,,,,,,,,,,,
"Ep.ECael.","Epistula e caelo missa de servanda dominica",,,,,,,,,,"Y",,
"Pas.And.","Epistula presbyterorum et diacanorum Achaiae (Passio Andreae)",,,,,"CE 6",,,,"Y","Y",,
"Ep.Cod.Greg.","Epitome Codicum Gregoriani et Hermogiani Wisigothica",,,,,"CE 5",,,,"Y",,,
"Ep.Gai","Epitome Gai",,,,,"CE 5",,,,"Y",,,
"EpGregTur","Epitome Gregorii Turonensis (Transitus Mariae)",,,,,,,,,,"Y",,
"Erac.","Eraclius",,,,,"CE 5",,,"c CE 425","Y","Y",,
"Euan.","Euantius",,,,,"CE 4",,,,,,,
"AI","Bellum Hispaniense",,,,,,,,,,,,
"AI","Bellum Alexandrinum",,,,,,,,,,,,
"Eucher(Ps).","Eucherius Lugdunensis (Ps)",,,,,,,,,,"Y",,
"Eucher(Ps).","Eucherius Lugdunensis, Ps.",,,,,,,,,,,,
"Eug.Tol.","Eugenius, archiepiscopus Toletanus",,,,,,,,,,,,
"AI","Bellum Africum",,,,,,,,,,,,
"Bed.","Beda","Venerable Bede",,,,"CE 7-8","c. CE 672/673","c. CE 735",,,,,
"Hier.","Eusebius Caesariensis / Hieronymus Stridonensi",,,,,,,,,,"Y",,
"Baud.","Baudonivia Monialis Pictaviensis",,,,,,,,,,,,
"Eust.","Eustathius",,,,,"CE 5",,,,"Y",,,
"Eut.","Euticianus papa (Incertus)","Eutychian, St.",,,,,,,,,"Y",,
"Bass.Iun.","Bassus iunior",,,,,"CE 5",,,"CE 431",,,,
"Bas.","Basilius Caesareae","St. Basil of Caesarea","Caesarea, Cappadocia",,,"CE 4","CE 329","CE 379",,"Y","Y",,
"Evagr.Mon.","Evagrius Monachus",,,,,"CE 5",,,"scripsit circa 430","Y","Y",,
"EvNic","Evangelium Nicomedi (Gesta Pilati)",,,,,,,,,,,,
"Ev.Thom.Inf.Sal.","Evangelium Thomae de infantia Salvatoris",,,,,,,,,,"Y",,
"Ev.Per.","Evangelium perfectionis",,,,,,,,,,"Y",,
"Ev.Heb.","Evangelium secundum Hebraeos",,,,,"CE 2",,,,,"Y",,
"Ev.Duod.Ap.","Evangelium secundum duodecim apostolos",,,,,,,,,,"Y",,
"Balb(Ps.).","Balbus, ps.",,,,,"CE 3/4",,,,,,,
"Evod.","Evodius Upsalensis (Incertus)",,,,,,,,,,"Y",,
"Evod.Vzal.","Evodius Vzaliensis",,,,,"CE 5",,"c CE 426",,"Y","Y",,
"Exc.DeCan.","Excerptum de canonibus. Sententiae tantum ex libro Bracarensi Martini episcopi",,,,,,,,,"Y","Y",,
"Ex.Sanct.Patr.","Exempla sanctorum Patrum quod unum quemlibet licet ex beata Trinitate dicere",,,,,,,,,,,,
"Exp.Tot.Mun.Gen.","Expositio totius mundi et gentium",,,,,"CE 5",,,,,,,
"Exsup.","Exsuperantius, Iulius",,,,,"CE 5-6",,,,,,,
"Fab.Ves.","Fabius Vestalis",,,,,,,,,,,,
"Fas.Cap.","Fasti Capitolini",,,,,,,,,,,,
"Amp.Balb.","Balbus, Titus Ampius",,,,,"BCE 1",,,"c. BCE 63-50",,,,
"Fel.I.","Felix I (Incertus)",,,,,,,,,,"Y",,
"Fen.","Fenestella",,,,,"BCE1-CE1","c. BCE 50","CE 21",,,,,
"C.Balb.","Balbus, Caecilius",,"Unknown","Unknown",,"CE 2",,,,,,,
"Fest.","Festus, Sextus Pompeius",,,,,"CE 2",,,,,,,
"Caper.","Flavius Caper",,"Unknown","Unknown",,"CE 2",,,,,,,
"Flav.Fel.","Flavius Felix",,,,,"CE 6",,,,,"Y",,
"Flav.Fel.","Flavius Felix Florentinus",,,,,,,,,,,,
"Balb.","Balbus gromaticus",,,,,"CE 1",,,"CE 81-106",,,,
"Balb.Ast.","Balbillus Astrologus",,,,,"CE 1",,,,,,,
"Bach.Mon.","Bachiarius Monachus",,,,,"CE 5",,,,"Y","Y",,
"Mal.","Flavius Mallius Theodorus",,,,,"CE 4-5",,,"c. CE 376-409",,,,
"Help.","Flavius Rusticius Helpidius Domnulus",,,,,"CE 5",,,,"Y","Y",,
"Flav.Cab.","Flavius, episcopus Cabilonensis",,,,,,,,,"Y","Y",,
"Florent.","Florentinus","Florentinus","Unknown","Unknown",,"CE 3",,,"c. CE 222-235",,"N",,
"Florentin.","Florentinus",,,,,"CE 6",,,,"Y","Y",,
"Alcim(Ps).","Avitus Viennensis Episcopus (Ps.) ",,,,,,,,,"Y","Y",,
"Flor.","Florus, Lucius Annius",,,,,"CE 2",,,,,,,
"Gall.","Avitus Gallonius",,,,,,,,,,,,
"Frg.Bob.","Fragmenta Bobiensia, epigrammata Bobiensia",,,,,,,,,,,,
"Frag.Gaud.","Fragmenta Gaudenzia / Ordo mellifluus in expositione legum",,,,,,,,,"Y",,,
"Ber.DeHer.","Fragmentum Berolinense de Heroo Hexametro",,,,,,,,,,,,
"Ber.DeSpec.","Fragmentum Berolinense de Speciebus Hexametri",,,,,,,,,,,,
"Bob.DeAc.","Fragmentum Bobiense de Accentibus",,,,,,,,,,,,
"Bob.DeFin.","Fragmentum Bobiense de Finalibus Syllabis",,,,,,,,,,,,
"Bob.DeMet.","Fragmentum Bobiense de Metris",,,,,,,,,,,,
"Bob.DeNom.","Fragmentum Bobiense de Nomine",,,,,,,,,,,,
"Bob.DeVerb.","Fragmentum Bobiense de Verbo",,,,,,,,,,,,
"Bob.DeVers.","Fragmentum Bobiense de Versibus",,,,,,,,,,,,
"Bob.DeNom.Pron.","Fragmentum Bobiense de nomine et pronomine",,,,,,,,,,,,
"Bob.DeProp.","Fragmentum Bobiense de propriis nominibus",,,,,,,,,,,,
