Source,Target,Type,id,label,timeset,weight
12,59,Undirected,488,,,4.0
12,60,Undirected,489,,,4.0
12,61,Undirected,490,,,4.0
12,62,Undirected,491,,,4.0
12,63,Undirected,492,,,4.0
12,64,Undirected,493,,,4.0
12,65,Undirected,494,,,4.0
12,66,Undirected,495,,,4.0
12,67,Undirected,496,,,4.0
12,68,Undirected,497,,,4.0
12,69,Undirected,498,,,4.0
12,70,Undirected,499,,,4.0
13,7,Undirected,500,,,4.0
13,8,Undirected,501,,,4.0
13,9,Undirected,502,,,4.0
13,10,Undirected,503,,,4.0
13,11,Undirected,504,,,4.0
13,12,Undirected,505,,,4.0
13,13,Undirected,506,,,4.0
13,14,Undirected,507,,,4.0
13,15,Undirected,508,,,4.0
13,16,Undirected,509,,,4.0
13,17,Undirected,510,,,4.0
13,18,Undirected,511,,,4.0
13,19,Undirected,512,,,4.0
13,20,Undirected,513,,,4.0
13,21,Undirected,514,,,4.0
13,22,Undirected,515,,,4.0
13,23,Undirected,516,,,4.0
13,24,Undirected,517,,,4.0
13,25,Undirected,518,,,4.0
13,26,Undirected,519,,,4.0
13,27,Undirected,520,,,4.0
13,28,Undirected,521,,,4.0
13,29,Undirected,522,,,4.0
13,30,Undirected,523,,,4.0
13,31,Undirected,524,,,4.0
13,32,Undirected,525,,,4.0
13,33,Undirected,526,,,4.0
13,34,Undirected,527,,,4.0
13,35,Undirected,528,,,4.0
13,36,Undirected,529,,,4.0
13,37,Undirected,530,,,4.0
13,38,Undirected,531,,,4.0
13,39,Undirected,532,,,4.0
13,40,Undirected,533,,,4.0
13,41,Undirected,534,,,4.0
13,42,Undirected,535,,,4.0
13,43,Undirected,536,,,4.0
13,44,Undirected,537,,,4.0
13,45,Undirected,538,,,4.0
13,46,Undirected,539,,,4.0
13,47,Undirected,540,,,4.0
13,48,Undirected,541,,,4.0
13,49,Undirected,542,,,4.0
13,50,Undirected,543,,,4.0
13,51,Undirected,544,,,4.0
13,52,Undirected,545,,,4.0
13,53,Undirected,546,,,4.0
13,54,Undirected,547,,,4.0
13,55,Undirected,548,,,4.0
13,56,Undirected,549,,,4.0
13,57,Undirected,550,,,4.0
13,58,Undirected,551,,,4.0
13,59,Undirected,552,,,4.0
13,60,Undirected,553,,,4.0
13,61,Undirected,554,,,4.0
13,62,Undirected,555,,,4.0
13,63,Undirected,556,,,4.0
13,64,Undirected,557,,,4.0
13,65,Undirected,558,,,4.0
13,66,Undirected,559,,,4.0
13,67,Undirected,560,,,4.0
13,68,Undirected,561,,,4.0
13,69,Undirected,562,,,4.0
13,70,Undirected,563,,,4.0
14,7,Undirected,564,,,4.0
14,8,Undirected,565,,,4.0
14,9,Undirected,566,,,4.0
14,10,Undirected,567,,,4.0
14,11,Undirected,568,,,4.0
14,12,Undirected,569,,,4.0
14,13,Undirected,570,,,4.0
14,14,Undirected,571,,,4.0
14,15,Undirected,572,,,4.0
14,16,Undirected,573,,,4.0
14,17,Undirected,574,,,4.0
14,18,Undirected,575,,,4.0
14,19,Undirected,576,,,4.0
14,20,Undirected,577,,,4.0
14,21,Undirected,578,,,4.0
14,22,Undirected,579,,,4.0
14,23,Undirected,580,,,4.0
14,24,Undirected,581,,,4.0
14,25,Undirected,582,,,4.0
14,26,Undirected,583,,,4.0
14,27,Undirected,584,,,4.0
14,28,Undirected,585,,,4.0
14,29,Undirected,586,,,4.0
14,30,Undirected,587,,,4.0
14,31,Undirected,588,,,4.0
14,32,Undirected,589,,,4.0
14,33,Undirected,590,,,4.0
14,34,Undirected,591,,,4.0
14,35,Undirected,592,,,4.0
14,36,Undirected,593,,,4.0
